total_points,English_Proficiency,Usual_Sleep,Tired,Excited,Motivation,Depression,Anxiety_attack
914,2,7,2,2,2,2,3
1478,2,7,2,2,2,2,4
518,3,6,2,2,2,3,3
280,1,8,2,2,2,7,7
893,2,8,2,2,2,3,4
506,3,7,2,2,2,3,3
279,3,7,3,2,2,3,4
839,3,7,2,2,2,3,4
1059,3,6,2,2,2,4,3
500,1,5,1,1,2,3,2
188,3,5,2,2,3,4,2
529,1,8,2,2,2,5,3
471,3,8,1,2,2,3,3
371,2,8,2,2,2,4,2
268,2,6,2,1,2,2,1
562,3,7,1,2,2,4,3
936,2,7,2,1,2,2,1
1275,3,7,2,2,2,4,3
1603,3,8,2,2,2,4,2
32,1,7,2,2,2,2,3
514,1,6,3,2,2,3,3
814,2,9,2,2,2,3,4
118,3,5,2,2,2,4,3
299,1,6,2,1,2,3,2
322,2,6,3,2,1,4,5
1358,2,8,1,2,2,3,1
834,3,7,2,2,2,2,1
95,3,6,2,2,2,3,3
44,2,7,2,2,2,4,2
150,2,7,2,2,2,3,3
43,3,7,2,2,2,4,6
16,3,7,2,2,2,5,2
57,3,7,2,2,2,5,3
72,1,8,2,2,2,1,2
58,3,7,2,2,3,4,1
54,3,5,2,2,2,3,4
26,1,6,3,1,1,2,2
1066,2,7,2,2,2,2,4
402,2,11,2,1,3,1,1
403,1,7,2,2,2,2,3
172,1,9,2,3,3,4,3
236,1,7,2,2,2,3,4
48,3,9,2,2,2,3,2
1438,2,7,1,2,2,1,2
961,2,8,2,2,2,3,3
127,3,8,2,3,3,2,1
993,3,7,2,2,2,3,2
220,2,9,2,2,1,2,2
260,2,9,3,1,1,7,5
359,1,8,2,2,2,3,4
478,3,8,2,2,2,3,5
24,2,10,1,1,2,5,2
187,1,8,1,2,2,1,1
26,1,6,2,1,3,1,1
24,3,6,2,2,2,4,2
146,2,8,1,2,2,2,2
1020,2,7,2,2,2,3,4
477,2,7,1,2,2,3,1
727,1,8,2,3,3,3,4
414,3,8,1,2,2,1,1
269,3,7,2,2,2,4,5
1562,3,7,1,2,3,3,1
1015,1,8,2,1,2,3,4
83,1,9,2,2,2,2,2
649,2,7,2,2,2,3,2
571,1,8,2,2,2,3,3
1135,1,8,2,2,1,2,2
94,1,8,1,2,1,3,2
18,3,7,2,1,2,6,1
58,2,7,2,2,2,3,3
710,2,7,2,2,2,2,2
201,2,6,2,1,3,3,6
1147,2,7,2,1,2,6,7
288,1,7,2,2,2,2,2
420,3,8,2,2,2,3,3
958,3,5,3,2,2,2,2
126,2,8,2,2,3,1,2
800,3,8,2,3,2,3,2
126,2,6,2,1,2,3,3
1275,2,7,2,2,3,2,2
214,3,7,2,2,2,2,2
88,2,7,2,2,3,5,5
502,2,8,2,1,2,3,4
292,3,8,2,2,2,5,6
88,3,8,2,2,1,3,4
142,1,6,2,2,2,3,3
